athlete_id,gender,week_no,activity_id,date,hrr_window_start_secs,hrr_window_end_secs,HRR(30)
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_23_17_36_12.csv,2011-08-23T15:36:12.000000,3282,3311,8
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_23_17_36_12.csv,2011-08-23T15:36:12.000000,5309,5338,6
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,709,738,9
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,1593,1622,4
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,2088,2117,1
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,2806,2835,34
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,3199,3228,5
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,3422,3451,2
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,3813,3842,3
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,3879,3908,6
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,4061,4090,16
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,4212,4241,7
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,4517,4546,15
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,5300,5329,18
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,5604,5633,8
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,6141,6170,24
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,6462,6491,20
06f81197-504a-478b-a347-052d4df03044,F,26,2011_08_25_17_39_13.csv,2011-08-25T15:39:13.000000,7151,7180,14
06f81197-504a-478b-a347-052d4df03044,F,38,2011_11_11_18_07_49.csv,2011-11-11T17:07:49.000000,1509,1538,31
06f81197-504a-478b-a347-052d4df03044,F,38,2011_11_11_18_07_49.csv,2011-11-11T17:07:49.000000,2834,2863,6
06f81197-504a-478b-a347-052d4df03044,F,40,2011_11_27_11_02_56.csv,2011-11-27T10:02:56.000000,258,287,21
06f81197-504a-478b-a347-052d4df03044,F,40,2011_11_27_11_02_56.csv,2011-11-27T10:02:56.000000,535,564,28
06f81197-504a-478b-a347-052d4df03044,F,143,2013_11_19_16_26_42.csv,2013-11-19T15:26:42.000000,880,909,26
06f81197-504a-478b-a347-052d4df03044,F,143,2013_11_19_16_26_42.csv,2013-11-19T15:26:42.000000,2005,2034,35
06f81197-504a-478b-a347-052d4df03044,F,233,2015_08_08_10_35_39.csv,2015-08-08T08:35:39.000000,977,1006,11
06f81197-504a-478b-a347-052d4df03044,F,233,2015_08_08_10_35_39.csv,2015-08-08T08:35:39.000000,9096,9125,10
06f81197-504a-478b-a347-052d4df03044,F,233,2015_08_08_10_35_39.csv,2015-08-08T08:35:39.000000,9446,9475,5
06f81197-504a-478b-a347-052d4df03044,F,233,2015_08_08_10_35_39.csv,2015-08-08T08:35:39.000000,11154,11183,23
06f81197-504a-478b-a347-052d4df03044,F,233,2015_08_08_10_35_39.csv,2015-08-08T08:35:39.000000,11713,11742,10
